TarTimestamp,Target_ID,Target_DistLong,Target_DistLat,Target_VrelLong,Target_VreLat,Target_DynProp,Target_RCS,Target_DistLong_rms,Target_DistLat_rms,Target_VrelLong_rms,Target_VrelLat_rms,Target_Pdh0,Target_InvalidState,Target_AmbigState
14:25:58:283,0,1.6,-1.5,0,0,1,-8,19,19,17,3,1,0,3
14:25:58:283,1,2,-1.5,0,0,1,-10,19,19,17,3,1,16,3
14:25:58:283,2,3.6,-1.5,0,0,1,-15,19,19,16,3,3,4,3
14:25:58:283,3,4.4,-1.5,0,0,1,-18,19,19,16,3,3,11,3
14:25:58:283,4,4.8,-1.5,0,0,1,-15.5,19,19,16,3,3,4,3
14:25:58:283,5,5.2,-0.5,0.75,0,3,-25,19,19,16,3,3,9,3
14:25:58:283,6,5.4,3.5,0,0,1,3,19,19,17,3,1,0,3
14:25:58:283,7,8.2,-0.9,0,0,3,-9,19,19,16,3,3,11,3
14:25:58:283,8,9,-1.5,0,0,3,-11,19,19,16,3,3,4,3
14:25:58:283,9,10,-0.3,0,0,1,17,19,19,16,3,1,0,3
14:25:58:284,10,12,-1.5,0,0,1,-11,19,19,16,3,3,4,3
14:25:58:284,11,12.8,-1.7,0,0,1,-16,19,19,16,3,3,11,3
14:25:58:284,12,14.6,1.5,0,0,1,11.5,19,19,16,3,1,0,3
14:25:58:284,13,15.4,1.3,0,0,1,6.5,19,19,16,3,3,11,3
14:25:58:284,14,16.2,1.3,0,0,1,-6,19,19,16,3,3,11,3
14:25:58:284,15,17.4,-1.9,0,0,1,-10.5,19,19,16,3,3,4,3
14:25:58:284,16,18.2,0.5,0,0,3,-6.5,19,19,16,3,3,9,3
14:25:58:284,17,18.4,-1.9,0,0,1,-12,19,19,16,3,3,4,3
14:25:58:285,18,19.6,-1.5,0,0,3,-17.5,19,19,16,3,3,11,3
14:25:58:286,19,21.6,0.5,0,0,1,-4.5,19,19,16,3,3,11,3
14:25:58:286,20,22,0.5,0,0,1,-2.5,19,19,16,3,1,0,3
14:25:58:286,21,23,0.3,0,0,1,-14.5,19,19,16,3,3,11,3
14:25:58:286,22,23.6,-1.3,0,0,1,-21,20,19,16,3,3,11,3
14:25:58:286,23,24.6,-1.1,0,0,1,-22,20,19,16,3,3,4,3
14:25:58:286,24,26,-1.5,0,0,1,5,19,19,16,3,1,0,3
14:25:58:286,25,27.4,-0.1,0,0,1,-2,19,19,16,3,1,0,3
14:25:58:286,26,28.4,2.7,0,0,1,-4.5,19,19,16,3,3,4,3
14:25:58:286,27,29.4,3.5,0,0,1,4,19,19,16,3,1,0,3
14:25:58:287,28,30,5.1,0,0,3,0.5,19,19,16,3,3,11,3
14:25:58:287,29,31,2.7,0,0,3,-4,19,19,16,3,3,4,3
14:25:58:287,30,31.2,4.9,0,0,3,-9.5,19,19,16,3,3,9,3
14:25:58:287,31,32.6,-2.7,0,0,3,-16,19,19,16,3,3,9,3
14:25:58:287,32,33.6,0.3,0,0,1,9,19,19,16,3,1,0,3
14:25:58:287,33,36,-0.9,0,0,1,7,19,19,16,3,1,0,3
14:25:58:287,34,36.4,-2.1,0,0,1,8,19,19,16,3,1,0,3
14:25:58:287,35,38.2,-0.7,0,0,1,27,19,19,16,3,1,0,3
14:25:58:287,36,40.2,-0.5,0,0,4,-19.5,0,0,0,0,6,12,0
14:25:58:287,37,41.4,-2.1,0,0,1,-6.5,19,19,16,3,3,9,3
14:25:58:287,38,42.2,-1.1,0,0,1,3.5,19,19,16,3,1,0,3
14:25:58:287,39,43.2,0.9,0,0,1,-6,19,20,16,3,3,11,3
14:25:58:287,40,44.2,-1.7,0,0,1,-14.5,20,20,16,3,3,12,3
14:25:58:287,41,45,0.5,0,0,3,-9,19,20,16,3,3,9,3
14:25:58:288,42,45.2,-3.1,0,0,1,-7.5,19,20,16,3,3,9,3
14:25:58:288,43,46.4,-1.9,0,0,1,-5.5,19,20,16,3,3,9,3
14:25:58:288,44,48,-0.5,0,0,1,0,19,19,16,3,1,0,3
14:25:58:288,45,48.8,-1.9,0,0,1,5,19,19,16,3,1,0,3
14:25:58:288,46,50.2,-1.9,0,0,1,1,19,19,16,3,1,0,3
