,Number,times,T2,T24,T30,T50,P2,P15,P30,epr,Ps30,phi,Nf,Nc,NRf,NRc,Nf_dmd,PCNfR_dmd,W31,W32,BPR,farB,htBleed,Altitude,Mach,TRA,life
0,1,1,451.2,557.08,1360.37,1138.99,5.48,8.0,194.64,1.02,42.02,183.06,2220.43,8333.57,2385.33,8040.51,2220.78,100.0,14.77,8.8471,9.3461,0.02,334,34.9983,0.84,100.0,112
1,1,2,445.4,550.3,1353.62,1126.18,3.91,5.71,138.51,1.02,42.2,130.42,2209.36,8295.66,2385.27,8064.23,2209.79,100.0,10.42,6.2765,9.3774,0.02,330,41.9982,0.8408,100.0,112
2,1,3,463.52,538.29,1257.74,1048.43,7.05,9.02,175.71,0.94,36.69,164.22,1913.19,7993.42,2026.0,7857.01,1913.08,84.93,14.29,8.8823,10.8941,0.02,309,24.9988,0.6218,60.0,112
3,1,4,447.24,551.75,1356.27,1128.62,3.91,5.71,138.46,1.02,41.96,130.72,2209.37,8295.66,2385.22,8060.59,2209.79,100.0,10.43,6.3101,9.3528,0.02,329,42.0077,0.8416,100.0,112
4,1,5,464.41,538.94,1259.58,1049.8,7.05,9.03,175.05,0.94,36.89,164.31,1913.18,7985.24,2025.97,7853.37,1913.08,84.93,14.31,8.7086,10.8963,0.02,309,25.0005,0.6203,60.0,112
5,1,6,461.56,536.04,1265.4,1047.74,7.05,9.03,175.17,0.94,36.78,164.27,1913.23,7988.1,2025.98,7861.0,1913.08,84.93,14.36,8.639,10.8912,0.02,306,25.0045,0.6205,60.0,112
6,1,7,445.95,550.69,1348.4,1128.14,3.91,5.71,138.71,1.02,42.19,130.49,2209.41,8299.44,2385.3,8067.46,2209.79,100.0,10.57,6.3727,9.3753,0.02,330,42.0043,0.8409,100.0,112
7,1,8,491.04,607.29,1481.54,1252.21,9.35,13.65,334.41,1.08,44.27,315.11,2321.55,8700.41,2385.6,8041.21,2321.68,100.0,24.45,14.9189,9.2369,0.02,365,20.002,0.7002,100.0,112
8,1,9,444.9,549.23,1348.13,1127.35,3.91,5.71,138.06,1.02,42.3,130.97,2209.4,8304.02,2385.23,8057.71,2209.79,100.0,10.8,6.4902,9.3878,0.02,331,41.9995,0.8407,100.0,112
9,1,10,445.41,549.74,1356.81,1127.52,3.91,5.71,138.7,1.02,42.02,130.5,2209.35,8294.01,2385.23,8061.04,2209.79,100.0,10.66,6.3747,9.3957,0.02,329,42.0011,0.84,100.0,112
10,1,11,445.14,549.95,1352.86,1126.37,3.91,5.71,137.81,1.02,42.05,130.41,2209.38,8292.92,2385.25,8068.36,2209.79,100.0,10.45,6.2794,9.3871,0.02,331,42.0029,0.84,100.0,112
11,1,12,520.12,644.15,1586.97,1404.08,14.62,21.61,553.93,1.3,47.34,521.29,2385.73,9029.8,2385.77,8112.97,2385.61,100.0,38.81,23.0394,8.3892,0.03,393,0.0015,0.001,100.0,112
12,1,13,491.95,608.43,1489.5,1256.86,9.35,13.65,335.33,1.08,44.43,314.77,2321.55,8701.68,2385.65,8040.47,2321.68,100.0,24.4,14.7202,9.1968,0.02,365,20.0003,0.7,100.0,112
